,FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS
74,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_12.txt,810,22,3097138,392062,299132,2000,3396270,394062,1,42220,2241,1599819,10646,1642039,12887,56,5,18
75,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_15.txt,864,23,3713603,457079,299954,2000,4013557,459079,1,32485,2640,1675275,11139,1707760,13779,59,5,19
76,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_11.txt,896,19,3078627,323475,297445,2000,3376072,325475,1,91751,8067,1369257,9118,1461008,17185,47,5,15
77,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_9.txt,1152,22,16518154,750100,301167,2010,16819321,752110,3,5332141,65749,1524391,10141,6856532,75890,59,6,17
78,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_7.txt,1344,23,5958679,710999,300255,2000,6258934,712999,1,50152,2655,1525680,10156,1575832,12811,55,7,17
79,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_10.txt,1728,21,5334357,762069,300739,2000,5635096,764069,1,2961,525,1369449,9115,1372410,9640,49,7,15
80,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_11.txt,2016,25,10770025,1260025,300403,2000,11070428,1262025,1,47944,1782,1601613,10645,1649557,12427,59,8,18
81,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_17.txt,2304,27,15046587,1679643,301594,2000,15348181,1681643,1,58977,2597,1829249,12180,1888226,14777,67,7,21
82,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_16.txt,2496,25,38084873,1917404,303097,2024,38387970,1919428,3,9641810,114656,1676874,11168,11318684,125824,69,7,19
83,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_18.txt,2592,23,9826727,1371191,301688,2000,10128415,1373191,1,2269,492,1449439,9631,1451708,10123,53,8,16
